Country,Criteria,Coverage,Year,Migrants_out,Migrants_in,Continent,Population
Lithuania,Residence,Both,2003,26283.0,4728.0,Europe,3415213.0
Luxembourg,Residence,Both,2003,7746.0,13158.0,Europe,451630.0
Netherlands,Residence,Both,2003,68885.0,104514.0,Europe,16225302.0
Norway,Residence,Both,2003,24672.0,35957.0,Europe,4564855.0
Poland,Residence,Both,2003,20813.0,7048.0,Europe,38204570.0
Portugal,Residence,Both,2003,8900.0,72400.0,Europe,10458821.0
Romania,Residence,Both,2003,12744.0,3266.0,Europe,21574326.0
Russian Federation,Residence,Both,2003,94018.0,129144.0,Europe,144648257.0
Slovak Republic,Residence,Both,2003,4777.0,6551.0,Europe,5373374.0
Slovenia,Residence,Both,2003,5867.0,9279.0,Europe,1995733.0
Spain,Residence,Both,2003,64298.0,672266.0,Europe,42187645.0
Sweden,Residence,Both,2003,35023.0,63795.0,Europe,8958229.0
Ukraine,Residence,Both,2003,63699.0,39489.0,Europe,47812950.0
United Kingdom,Residence,Both,2003,313960.0,431487.0,Europe,59647577.0
Armenia,Residence,Both,2004,8451.0,1514.0,Asia,3025982.0
Australia,Residence,Both,2004,212200.0,350990.0,Australia,20127400.0
Austria,Residence,Both,2004,71721.0,122547.0,Europe,8171966.0
Azerbaijan,Residence,Both,2004,2800.0,2407.0,Asia,8306500.0
Belarus,Residence,Both,2004,12510.0,14641.0,Europe,9730000.0
Belgium,Residence,Both,2004,83895.0,117236.0,Europe,10421137.0
Croatia,Residence,Both,2004,6812.0,18383.0,Europe,4439000.0
Cyprus,Residence,Both,2004,6279.0,22003.0,Asia,1015827.0
Czech Republic,Residence,Both,2004,34818.0,53453.0,Europe,10197101.0
Denmark,Residence,Both,2004,45017.0,49860.0,Europe,5404523.0
Estonia,Residence,Both,2004,2927.0,1097.0,Europe,1362550.0
Finland,Residence,Both,2004,13656.0,20333.0,Europe,5228172.0
Germany,Residence,Both,2004,697632.0,780175.0,Europe,82516260.0
Iceland,Residence,Both,2004,4820.0,5350.0,Europe,292074.0
Ireland,Residence,Both,2004,28675.0,78075.0,Europe,4070262.0
Italy,Residence,Both,2004,64849.0,444566.0,Europe,57685327.0
Kazakhstan,Residence,Both,2004,65530.0,69559.0,Asia,15012985.0
Kyrgyz Republic,Residence,Both,2004,22607.0,3284.0,Asia,5104700.0
Latvia,Residence,Both,2004,20167.0,4844.0,Europe,2263122.0
Lithuania,Residence,Both,2004,37691.0,5553.0,Europe,3377075.0
Luxembourg,Residence,Both,2004,8480.0,12872.0,Europe,458095.0
Netherlands,Residence,Both,2004,75049.0,94019.0,Europe,16281779.0
Norway,Residence,Both,2004,23271.0,36482.0,Europe,4591910.0
