Country,Criteria,Type,Coverage,Year,Migrants
Luxembourg,Residence,Emigrants,Both,2012,10442
Luxembourg,Residence,Immigrants,Both,2012,20478
Malta,Residence,Emigrants,Both,2012,4005
Malta,Residence,Immigrants,Both,2012,7111
Netherlands,Residence,Emigrants,Both,2012,110431
Netherlands,Residence,Immigrants,Both,2012,124566
Norway,Residence,Emigrants,Both,2012,22693
Norway,Residence,Immigrants,Both,2012,69908
Poland,Residence,Emigrants,Both,2012,275603
Poland,Residence,Immigrants,Both,2012,217546
Portugal,Residence,Emigrants,Both,2012,51958
Portugal,Residence,Immigrants,Both,2012,14606
Romania,Residence,Emigrants,Both,2012,170186
Romania,Residence,Immigrants,Both,2012,167266
Slovak Republic,Residence,Emigrants,Both,2012,2003
Slovak Republic,Residence,Immigrants,Both,2012,5419
Slovenia,Residence,Emigrants,Both,2012,14378
Slovenia,Residence,Immigrants,Both,2012,15022
Spain,Residence,Emigrants,Both,2012,446606
Spain,Residence,Immigrants,Both,2012,304053
Sweden,Residence,Emigrants,Both,2012,51815
Sweden,Residence,Immigrants,Both,2012,103059
Switzerland,Residence,Emigrants,Both,2012,103881
Switzerland,Residence,Immigrants,Both,2012,149051
"Macedonia, FYR",Residence,Emigrants,Both,2012,1415
"Macedonia, FYR",Residence,Immigrants,Both,2012,1715
United Kingdom,Residence,Emigrants,Both,2012,321217
United Kingdom,Residence,Immigrants,Both,2012,498040
Austria,Residence,Emigrants,Both,2013,54071
Austria,Residence,Immigrants,Both,2013,101866
Belgium,Residence,Emigrants,Both,2013,90800
Belgium,Residence,Immigrants,Both,2013,118256
Bulgaria,Residence,Emigrants,Both,2013,19678
Bulgaria,Residence,Immigrants,Both,2013,18570
Croatia,Residence,Emigrants,Both,2013,15262
Croatia,Residence,Immigrants,Both,2013,10378
Cyprus,Residence,Emigrants,Both,2013,25227
Cyprus,Residence,Immigrants,Both,2013,13149
Czech Republic,Residence,Emigrants,Both,2013,25894
Czech Republic,Residence,Immigrants,Both,2013,30124
Denmark,Residence,Emigrants,Both,2013,43310
Denmark,Residence,Immigrants,Both,2013,60312
Estonia,Residence,Emigrants,Both,2013,6740
Estonia,Residence,Immigrants,Both,2013,4109
Finland,Residence,Emigrants,Both,2013,13893
Finland,Residence,Immigrants,Both,2013,31941
France,Residence,Emigrants,Both,2013,300760
France,Residence,Immigrants,Both,2013,332640
Germany,Residence,Emigrants,Both,2013,259328
Germany,Residence,Immigrants,Both,2013,692713
Greece,Residence,Emigrants,Both,2013,117094
Greece,Residence,Immigrants,Both,2013,57946
Hungary,Residence,Emigrants,Both,2013,34691
Hungary,Residence,Immigrants,Both,2013,38968
Iceland,Residence,Emigrants,Both,2013,4372
Iceland,Residence,Immigrants,Both,2013,6406
Ireland,Residence,Emigrants,Both,2013,83791
Ireland,Residence,Immigrants,Both,2013,59294
Italy,Residence,Emigrants,Both,2013,125735
Italy,Residence,Immigrants,Both,2013,307454
Latvia,Residence,Emigrants,Both,2013,22561
Latvia,Residence,Immigrants,Both,2013,8299
